name	latitude	longitude	visit_cnt
2ANCH1	59.599	23.819333	18
38A	60.11683	24.9635	30
39A	60.06683	24.98017	141
A12	65.23367	23.81283	16
A13	65.33367	23.99617	16
A5	64.11683	22.04617	22
A7	64.467	22.61283	12
A8	64.65033	22.86283	20
AA11	60.235	18.9465	18
AA15	60.33	19.03317	18
AA17	60.38333	18.93483	15
AA19	60.38	19.12983	15
AA21	60.43167	19.04317	14
AA6	60.19333	18.9715	17
AA7	60.19	19.0815	16
AA9	60.25833	19.1365	18
AALTO_HKI	59.965	25.235	70
AALTO_PI	59.25	20.99683	44
AALTO_SM	61.8001	20.232667	15
AALTO_SM2	61.7685	20.226833	28
AII	59.58983	22.93983	14
AJAX1	59.70017	23.18017	74
AJAX2	59.61683	23.08017	11
AK2012H	60.001083	25.250183	12
AK2012L	59.86085	24.764167	14
ALC1	60.30167	19.25317	38
AMN	59.6905	23.257167	17
ANCH1	59.708167	23.6335	50
ANCH2	59.708667	23.6335	63
ANCH3	59.708667	23.633667	29
ANCH7	59.708667	23.633167	13
ATVA	60.15833	19.19167	27
ATVB	60.125	18.89817	18
ATVD	60.24667	19.0465	38
ATVE	60.285	19.02983	33
ATVG	60.38	19.0415	29
ATVI	60.435	18.94317	33
AV9	60.32167	19.18317	19
BAB3	58.835	20.3385	13
BAB4	58.90333	20.28017	12
BAC2	58.79	20.55017	12
BAC3	58.87	20.4885	12
BAC4	58.94333	20.43017	12
BAC5	59.02167	20.36683	12
BAC6	59.09667	20.30667	13
BAD3	58.89833	20.64183	15
BAD5	59.05333	20.51517	16
BAD6	59.13	20.45667	13
BAE2	58.85333	20.85017	11
BAE3	58.93	20.79183	13
BAE4	59.00833	20.73017	12
BAE5	59.085	20.67183	15
BAE6	59.16167	20.60667	13
BAF2	58.88333	20.99683	11
BAF3	58.96	20.9385	11
BAF4	59.03667	20.87517	12
BAF5	59.115	20.8185	13
BAF6	59.19167	20.75667	13
BB2	55.33333	16.33333	19
BB3	55.33333	16.13333	20
BB4	55.45	16.3	27
BB5	55.44167	16.09167	18
BB6	55.51667	15.95833	19
BB7	55.53333	15.80833	12
BB8	55.575	15.66667	15
BCSIII10	55.555	18.4	73
BCSIII11	55.4	18.55	13
BCSIII12	55.25	18.71667	20
BCSIII13	55.11667	18.85	13
BCSIII14	55.0	19.0	17
BCSIII15	54.86667	19.13333	27
BCSIII2	56.7	17.11667	31
BCSIII3	56.56667	17.26667	20
BCSIII4	56.43333	17.43333	34
BCSIII6	56.13333	17.75	30
BCSIII7	56.0	17.9	13
BCSIII8	55.85	18.05	19
BCSIII9	55.71667	18.21667	12
BCSIVA2	57.6	17.21667	14
BCSIVA3	57.56667	17.55	40
BCSIVA4	57.55	17.8	19
BCSIVA5	57.55	18.01667	12
BCSIVB1	57.43317	19.1135	24
BCSIVB2	57.4	19.35	40
BCSIVB2W	57.4	19.28333	17
BCSIVB3	57.36667	19.66667	23
BCSIVB3W	57.36667	19.52917	36
BCSIVB5	57.33333	20.23333	16
BCSIVB6	57.3	20.53333	57
BCSIVB7	57.27767	20.7925	20
BI	61.3	19.77983	13
BIII	61.61667	19.7965	19
BIV	61.75017	19.763	12
BO1	64.417	21.84617	32
BO1A	64.45033	21.79617	26
BO2	64.35017	22.09617	64
BO3	64.305	22.35833	190
BO3S	64.23367	22.34617	13
BO4	64.23367	22.59617	63
BO5	64.18367	22.91283	84
BO6	64.13367	23.1295	65
BS	55.26667	16.33333	13
BS10	55.44167	15.9	15
BS11	55.59167	16.01667	14
BS12	55.66667	16.09167	14
BS15	55.425	15.575	16
BS16	55.50833	15.625	12
BS17	55.65833	15.70833	12
BS18	55.7	15.58333	12
BS19	55.64167	15.49167	16
BS20	55.55833	15.39167	13
BS21	55.74167	15.36667	17
BS22	55.64167	15.23333	15
BS23	55.45	15.0	13
BS26	55.25	15.7	11
BS31	55.39167	16.475	24
BS32	55.28333	16.61667	25
